date,tsp,avg_benchmark
2020-01-02,213.71249999999995,220.0
2020-01-09,213.71249999999995,220.0
2020-01-16,213.71249999999995,220.0
2020-01-23,213.71249999999995,220.0
2020-01-30,213.71249999999995,220.0
2020-02-06,213.71249999999995,220.0
2020-02-13,213.71249999999995,220.0
2020-02-20,213.71249999999995,220.0
2020-02-27,213.71249999999995,220.0
2020-03-05,213.71249999999995,220.0
2020-03-12,220.60049999999995,228.0
2020-03-19,213.71249999999995,220.0
2020-03-26,213.71249999999995,220.0
2020-04-02,213.71249999999995,220.0
2020-04-09,213.71249999999995,220.0
2020-04-16,213.71249999999995,220.0
2020-04-23,209.40749999999997,215.0
2020-04-30,209.40749999999997,215.0
2020-05-07,209.40749999999997,215.0
2020-05-14,209.40749999999997,215.0
2020-05-21,207.68549999999996,213.0
2020-05-28,207.68549999999996,213.0
2020-06-04,207.68549999999996,213.0
2020-06-11,207.68549999999996,213.0
2020-06-18,207.68549999999996,213.0
2020-06-25,211.99049999999997,218.0
2020-07-02,211.99049999999997,218.0
2020-07-09,211.99049999999997,218.0
2020-07-16,211.99049999999997,218.0
2020-07-23,211.99049999999997,218.0
2020-07-30,211.99049999999997,218.0
2020-08-06,211.99049999999997,218.0
2020-08-13,211.99049999999997,218.0
2020-08-20,211.99049999999997,218.0
2020-08-27,211.99049999999997,218.0
2020-09-03,211.99049999999997,218.0
2020-09-10,211.99049999999997,218.0
2020-09-17,211.99049999999997,218.0
2020-09-24,211.99049999999997,218.0
2020-10-01,211.99049999999997,218.0
2020-10-08,211.99049999999997,218.0
2020-10-15,211.99049999999997,218.0
2020-10-22,213.71249999999995,220.0
2020-10-29,213.71249999999995,220.0
2020-11-05,213.71249999999995,220.0
2020-11-12,213.71249999999995,220.0
2020-11-19,220.60049999999995,228.0
2020-11-26,220.60049999999995,228.0
2020-12-03,213.71249999999995,220.0
2020-12-10,220.60049999999995,228.0
2020-12-17,235.23749999999995,245.0
2020-12-24,235.23749999999995,245.0
2020-12-31,354.27074999999996,
2021-01-07,473.304,521.5
2021-01-14,235.23749999999995,245.0
2021-01-21,273.9825,290.0
2021-01-28,273.9825,290.0
2021-02-04,295.50749999999994,315.0
2021-02-11,295.50749999999994,315.0
2021-02-18,359.22149999999993,389.0
2021-02-25,362.23499999999996,392.5
2021-03-04,375.15,407.5
2021-03-11,395.8139999999999,431.5
2021-03-18,395.8139999999999,431.5
2021-03-25,406.57649999999995,444.0
2021-04-01,400.97999999999996,437.5
2021-04-08,400.97999999999996,437.5
2021-04-15,400.97999999999996,437.5
2021-04-22,396.67499999999995,432.5
2021-04-29,396.67499999999995,432.5
2021-05-06,406.57649999999995,444.0
2021-05-13,407.43749999999994,445.0
2021-05-20,413.03399999999993,451.5
2021-05-27,413.03399999999993,451.5
2021-06-03,421.6439999999999,461.5
2021-06-10,430.25399999999996,471.5
2021-06-17,464.6939999999999,511.5
2021-06-24,468.9989999999999,516.5
2021-07-01,235.23749999999995,245.0
2021-07-08,473.304,521.5
2021-07-15,475.4564999999999,524.0
2021-07-22,479.7614999999999,529.0
2021-07-29,479.7614999999999,529.0
2021-08-05,474.1649999999999,522.5
2021-08-12,475.4564999999999,524.0
2021-08-19,473.304,521.5
2021-08-26,473.304,521.5
2021-09-02,473.304,521.5
2021-09-09,473.304,521.5
2021-09-16,468.9989999999999,516.5
2021-09-23,468.9989999999999,516.5
2021-09-30,468.9989999999999,516.5
2021-10-07,468.9989999999999,516.5
2021-10-14,468.9989999999999,516.5
2021-10-21,484.06649999999996,534.0
2021-10-28,484.06649999999996,534.0
2021-11-04,484.06649999999996,534.0
2021-11-11,504.2999999999999,557.5
2021-11-18,536.5875,595.0
2021-11-25,536.5875,595.0
2021-12-02,612.3555,683.0
2021-12-09,612.3555,683.0
2021-12-16,612.3555,683.0
2021-12-23,612.3555,683.0
2021-12-30,612.3555,
2022-01-06,612.3555,683.0
2022-01-13,612.3555,683.0
2022-01-20,612.3555,683.0
2022-01-27,612.3555,683.0
2022-02-03,612.3555,683.0
2022-02-10,612.3555,683.0
2022-02-17,612.3555,683.0
2022-02-24,612.3555,683.0
2022-03-03,612.3555,683.0
2022-03-10,612.3555,683.0
2022-03-17,833.6325,940.0
2022-03-24,855.1575,965.0
2022-03-31,855.1575,965.0
2022-04-07,855.1575,965.0
2022-04-14,863.7674999999999,975.0
2022-04-21,863.7674999999999,975.0
2022-04-28,810.3855,913.0
2022-05-05,810.3855,913.0
2022-05-12,784.5555,883.0
2022-05-19,784.5555,883.0
2022-05-26,780.2505,878.0
2022-06-02,780.2505,878.0
2022-06-09,780.2505,878.0
2022-06-16,780.2505,878.0
2022-06-23,754.4205,848.0
2022-06-30,754.4205,848.0
2022-07-07,754.4205,848.0
2022-07-14,704.4825,790.0
2022-07-21,704.4825,790.0
2022-07-28,704.4825,790.0
2022-08-04,704.4825,790.0
2022-08-11,704.4825,790.0
2022-08-18,639.9075,715.0
2022-08-25,579.6374999999999,645.0
2022-09-01,579.6374999999999,645.0
2022-09-08,579.6374999999999,645.0
2022-09-15,527.9775,585.0
2022-09-22,484.9274999999999,535.0
2022-09-29,501.2864999999999,554.0
2022-10-06,490.5239999999999,541.5
2022-10-13,487.0799999999999,537.5
2022-10-20,454.79249999999996,500.0
2022-10-27,454.79249999999996,500.0
2022-11-03,453.9314999999999,499.0
2022-11-10,453.9314999999999,499.0
2022-11-17,447.47399999999993,491.5
2022-11-24,447.47399999999993,491.5
2022-12-01,424.6574999999999,465.0
2022-12-08,424.6574999999999,465.0
2022-12-15,424.6574999999999,465.0
2022-12-22,398.82749999999993,435.0
2022-12-29,416.37037499999997,
2023-01-05,433.91324999999995,475.75
2023-01-12,454.57724999999994,499.75
2023-01-19,444.8909999999999,488.5
2023-01-26,445.9672499999999,489.75
2023-02-02,439.72499999999997,482.5
2023-02-09,433.2674999999999,475.0
2023-02-16,428.10149999999993,469.0
2023-02-23,431.33025,472.75
2023-03-02,422.93549999999993,463.0
2023-03-09,422.93549999999993,463.0
2023-03-16,390.2175,425.0
2023-03-23,389.3564999999999,424.0
2023-03-30,381.6074999999999,415.0
2023-04-06,378.73749999999995,411.6666666666667
2023-04-13,370.9885,402.6666666666667
2023-04-20,354.05549999999994,383.0
2023-04-27,354.05549999999994,383.0
2023-05-04,348.45899999999995,376.5
2023-05-11,348.45899999999995,376.5
2023-05-18,336.405,362.5
2023-05-25,324.78149999999994,349.0
2023-06-01,324.78149999999994,349.0
2023-06-08,318.32399999999996,341.5
2023-06-15,318.32399999999996,341.5
2023-06-22,289.48049999999995,308.0
2023-06-29,283.02299999999997,300.5
2023-07-06,292.92449999999997,312.0
2023-07-13,289.48049999999995,308.0
2023-07-20,296.799,316.5
2023-07-27,301.104,321.5
2023-08-03,324.92499999999995,349.1666666666667
2023-08-10,330.8084999999999,356.0
2023-08-17,350.32449999999994,378.6666666666667
2023-08-24,353.05099999999993,381.8333333333333
2023-08-31,353.05099999999993,381.8333333333333
2023-09-07,351.616,380.1666666666667
2023-09-14,351.616,380.1666666666667
2023-09-21,352.76399999999995,381.5
2023-09-28,352.76399999999995,381.5
2023-10-05,352.76399999999995,381.5
2023-10-12,352.76399999999995,381.5
2023-10-19,351.47249999999997,380.0
2023-10-26,356.49499999999995,385.8333333333333
2023-11-02,356.49499999999995,385.8333333333333
2023-11-09,359.36499999999995,389.1666666666667
2023-11-16,359.36499999999995,389.1666666666667
2023-11-23,360.7999999999999,390.8333333333333
2023-11-30,359.652,389.5
2023-12-07,359.652,389.5
2023-12-14,357.643,387.1666666666667
2023-12-21,360.22599999999994,390.1666666666667
2023-12-28,365.03324999999995,395.75
2024-01-04,361.8044999999999,392.0
2024-01-11,360.22599999999994,390.1666666666667
2024-01-18,362.80899999999997,393.1666666666667
2024-01-25,361.66099999999994,391.8333333333333
2024-02-01,360.9435,391.0
2024-02-08,360.9435,391.0
2024-02-15,361.66099999999994,391.8333333333333
2024-02-22,361.66099999999994,391.8333333333333
2024-02-29,359.36499999999995,389.1666666666667
2024-03-07,358.79099999999994,388.5
2024-03-14,358.50399999999996,388.1666666666667
2024-03-21,357.92999999999995,387.5
2024-03-28,357.35599999999994,386.8333333333333
2024-04-04,357.92999999999995,387.5
2024-04-11,357.49949999999995,387.0
2024-04-18,357.49949999999995,387.0
2024-04-25,359.0779999999999,388.8333333333333
2024-05-02,355.921,385.1666666666667
2024-05-09,356.63849999999996,386.0
2024-05-16,359.0779999999999,388.8333333333333
2024-05-23,362.3785,392.6666666666667
2024-05-30,367.25749999999994,398.3333333333333
2024-06-06,372.99749999999995,405.0
2024-06-13,368.69249999999994,400.0
2024-06-20,371.5624999999999,403.3333333333333
2024-06-27,388.7824999999999,423.3333333333333
2024-07-04,403.9934999999999,441.0
2024-07-11,409.7335,447.6666666666667
2024-07-18,413.17749999999995,451.6666666666667
2024-07-25,427.5274999999999,468.3333333333333
2024-08-01,421.78749999999997,461.6666666666667
2024-08-08,421.78749999999997,461.6666666666667
2024-08-15,421.78749999999997,461.6666666666667
2024-08-22,410.3074999999999,448.3333333333333
2024-08-29,411.74249999999995,450.0
2024-09-05,411.74249999999995,450.0
2024-09-12,424.6574999999999,465.0
2024-09-19,424.6574999999999,465.0
2024-09-26,424.6574999999999,465.0
2024-10-03,426.9534999999999,467.6666666666667
2024-10-10,425.6619999999999,466.1666666666667
2024-10-17,421.78749999999997,461.6666666666667
2024-10-24,422.50499999999994,462.5
2024-10-31,422.50499999999994,462.5
2024-11-07,422.50499999999994,462.5
2024-11-14,421.78749999999997,461.6666666666667
2024-11-21,424.6574999999999,465.0
2024-11-28,426.0925,466.6666666666667
2024-12-05,424.6574999999999,465.0
2024-12-12,424.51399999999995,464.8333333333333
2024-12-19,424.51399999999995,464.8333333333333
2024-12-26,423.22249999999997,
2025-01-02,421.9309999999999,461.8333333333333
2025-01-09,421.9309999999999,461.8333333333333
2025-01-16,423.22249999999997,463.3333333333333
2025-01-23,421.06999999999994,460.8333333333333
2025-01-30,420.3524999999999,460.0
2025-02-06,417.48249999999996,456.6666666666667
2025-02-13,424.6574999999999,465.0
2025-02-20,426.80999999999995,467.5
2025-02-27,429.967,471.1666666666667
2025-03-06,432.54999999999995,474.1666666666667
2025-03-13,433.2674999999999,475.0
2025-03-20,434.70249999999993,476.6666666666667
2025-03-27,441.87749999999994,485.0
2025-04-03,444.03,487.5
2025-04-10,451.06149999999997,495.6666666666667
2025-04-17,456.2274999999999,501.6666666666667
2025-04-24,459.9584999999999,506.0
2025-05-01,464.9809999999999,511.8333333333333
2025-05-08,472.01249999999993,520.0
2025-05-15,488.08449999999993,538.6666666666666
2025-05-22,498.2729999999999,550.5
2025-05-29,499.2774999999999,551.6666666666666
2025-06-05,502.86499999999995,555.8333333333334
2025-06-12,501.4299999999999,554.1666666666666
2025-06-19,520.0849999999999,575.8333333333334
2025-06-26,520.8024999999999,576.6666666666666
2025-07-03,520.8024999999999,576.6666666666666
2025-07-10,520.8024999999999,576.6666666666666
2025-07-17,522.2375,578.3333333333334
2025-07-24,519.3675,575.0
2025-07-31,523.8159999999999,580.1666666666666
2025-08-07,517.7889999999999,573.1666666666666
2025-08-14,523.0985,579.3333333333334
2025-08-21,511.6184999999999,566.0
2025-08-28,499.56449999999995,552.0
2025-09-04,499.56449999999995,552.0
2025-09-11,496.40749999999997,548.3333333333334
2025-09-18,496.40749999999997,548.3333333333334
2025-09-25,496.40749999999997,548.3333333333334
2025-10-02,496.40749999999997,548.3333333333334
2025-10-09,496.40749999999997,548.3333333333334
2025-10-16,493.53749999999997,545.0
2025-10-23,493.8245,545.3333333333334
2025-10-30,489.2324999999999,540.0
2025-11-06,489.2324999999999,540.0
2025-11-13,487.79749999999996,538.3333333333334
2025-11-20,472.01249999999993,520.0
2025-11-27,478.4699999999999,527.5
2025-12-04,469.85999999999996,517.5
2025-12-11,466.2724999999999,513.3333333333334
2025-12-18,464.8375,511.6666666666667
2025-12-25,446.1824999999999,490.0
2026-01-01,465.55499999999995,512.5
2026-01-08,468.42499999999995,515.8333333333334
2026-01-15,477.0349999999999,525.8333333333334
2026-01-22,480.62249999999995,530.0
2026-01-29,487.0799999999999,537.5
2026-02-05,491.38499999999993,542.5
2026-02-12,492.81999999999994,544.1666666666666
2026-02-19,492.81999999999994,544.1666666666666
2026-02-26,500.7125,553.3333333333334
2026-03-05,506.1654999999999,559.6666666666666
2026-03-12,522.9549999999999,579.1666666666666
2026-03-19,549.5024999999999,610.0
2026-03-26,561.6999999999999,624.1666666666666
2026-04-02,571.745,635.8333333333334
2026-04-09,573.18,637.5
2026-04-16,597.5749999999999,665.8333333333334
2026-04-23,597.9337499999999,666.25
2026-04-30,597.9337499999999,666.25
2026-05-07,609.055,679.1666666666666
2026-05-14,628.0687499999999,701.25
2026-05-21,625.9162499999999,698.75
2026-05-28,625.9162499999999,698.75
