date,urea,prill_avg,granul_avg
2020-01-02,245.025,244.5,247.0
2020-01-09,245.025,244.5,247.0
2020-01-16,243.20999999999998,243.0,244.0
2020-01-23,238.055,239.0,234.5
2020-01-30,233.10500000000002,233.0,233.5
2020-02-06,229.44500000000002,228.5,233.0
2020-02-13,235.71,235.5,236.5
2020-02-20,235.92000000000002,235.5,237.5
2020-02-27,236.335,233.5,247.0
2020-03-05,244.785,243.0,251.5
2020-03-12,267.92,267.5,269.5
2020-03-19,255.235,254.5,258.0
2020-03-26,254.95000000000002,256.0,251.0
2020-04-02,246.89499999999998,247.0,246.5
2020-04-09,238.84,238.0,242.0
2020-04-16,239.315,239.0,240.5
2020-04-23,235.84,235.0,239.0
2020-04-30,230.89,229.0,238.0
2020-05-07,230.47,229.0,236.0
2020-05-14,229.945,229.0,233.5
2020-05-21,228.54999999999998,227.5,232.5
2020-05-28,233.31500000000003,233.0,234.5
2020-06-04,232.525,232.0,234.5
2020-06-11,233.31500000000003,233.0,234.5
2020-06-18,232.92000000000002,232.5,234.5
2020-06-25,232.21,232.0,233.0
2020-07-02,232.71,232.5,233.5
2020-07-09,232.815,232.5,234.0
2020-07-16,232.315,232.0,233.5
2020-07-23,232.92000000000002,232.5,234.5
2020-07-30,231.57500000000002,230.0,237.5
2020-08-06,262.505,264.5,255.0
2020-08-13,270.765,271.5,268.0
2020-08-20,271.65500000000003,270.5,276.0
2020-08-27,271.97,270.5,277.5
2020-09-03,271.15500000000003,270.0,275.5
2020-09-10,268.945,268.0,272.5
2020-09-17,268.63,268.0,271.0
2020-09-24,262.34000000000003,261.5,265.5
2020-10-01,259.235,258.5,262.0
2020-10-08,262.0,262.0,262.0
2020-10-15,262.79,263.0,262.0
2020-10-22,262.79,263.0,262.0
2020-10-29,262.5,262.5,262.5
2020-11-05,262.5,262.5,262.5
2020-11-12,260.66,261.5,257.5
2020-11-19,261.5,261.5,261.5
2020-11-26,262.84000000000003,262.0,266.0
2020-12-03,255.995,254.0,263.5
2020-12-10,267.92,267.5,269.5
2020-12-17,267.92,267.5,269.5
2020-12-24,267.92,267.5,269.5
2020-12-31,267.63,267.0,270.0
2021-01-07,465.70000000000005,465.0,468.3333333333333
2021-01-14,295.315,295.0,296.5
2021-01-21,304.31500000000005,304.0,305.5
2021-01-28,309.15500000000003,308.0,313.5
2021-02-04,353.36,350.0,366.0
2021-02-11,357.41499999999996,355.0,366.5
2021-02-18,357.31,355.0,366.0
2021-02-25,357.31,355.0,366.0
2021-03-04,354.87000000000006,352.0,365.6666666666667
2021-03-11,352.33500000000004,349.5,363.0
2021-03-18,354.31000000000006,352.0,363.0
2021-03-25,353.19000000000005,352.0,357.6666666666667
2021-04-01,347.37,348.0,345.0
2021-04-08,347.37,348.0,345.0
2021-04-15,336.47,335.0,342.0
2021-04-22,335.98,335.0,339.6666666666667
2021-04-29,336.75,335.0,343.3333333333333
2021-05-06,326.05,325.0,330.0
2021-05-13,328.795,327.5,333.6666666666667
2021-05-20,348.97,344.0,367.6666666666667
2021-05-27,374.77000000000004,374.0,377.6666666666667
2021-06-03,379.545,376.5,391.0
2021-06-10,391.51500000000004,383.5,421.6666666666667
2021-06-17,413.7,406.0,442.6666666666667
2021-06-24,455.63,455.0,458.0
2021-07-01,273.55,272.5,277.5
2021-07-08,474.26,473.0,479.0
2021-07-15,474.33000000000004,473.0,479.3333333333333
2021-07-22,478.35,478.0,479.6666666666667
2021-07-29,473.77,473.0,476.6666666666667
2021-08-05,454.05,453.0,458.0
2021-08-12,452.07500000000005,450.5,458.0
2021-08-19,449.28000000000003,449.0,450.3333333333333
2021-08-26,434.33,433.0,439.3333333333333
2021-09-02,427.45,425.0,436.6666666666667
2021-09-09,424.89,423.0,432.0
2021-09-16,424.89,423.0,432.0
2021-09-23,499.41,495.0,516.0
2021-09-30,508.02,495.0,557.0
2021-10-07,608.22,605.0,620.3333333333334
2021-10-14,670.95,665.0,693.3333333333334
2021-10-21,727.8,725.0,738.3333333333334
2021-10-28,771.79,765.0,797.3333333333334
2021-11-04,864.45,855.0,900.0
2021-11-11,969.515,965.0,986.5
2021-11-18,961.3000000000001,955.0,985.0
2021-11-25,960.25,955.0,980.0
2021-12-02,979.7500000000001,985.0,960.0
2021-12-09,979.7500000000001,985.0,960.0
2021-12-16,983.95,985.0,980.0
2021-12-23,972.7500000000001,985.0,926.6666666666666
2021-12-30,187.42499999999998,,892.5
2022-01-06,857.2650000000001,858.0,854.5
2022-01-13,800.4300000000001,804.0,787.0
2022-01-20,753.9625,760.0,731.25
2022-01-27,695.8199999999999,697.5,689.5
2022-02-03,652.955,656.0,641.5
2022-02-10,581.2275,577.5,595.25
2022-02-17,576.19,578.5,567.5
2022-02-24,581.7025000000001,578.5,593.75
2022-03-03,675.3575000000001,660.5,731.25
2022-03-10,886.7125000000001,877.0,923.25
2022-03-17,939.2774999999999,934.5,957.25
2022-03-24,952.84,952.0,956.0
2022-03-31,947.9925000000001,945.0,959.25
2022-04-07,926.28,922.5,940.5
2022-04-14,880.145,875.0,899.5
2022-04-21,870.295,872.5,862.0
2022-04-28,724.0925,719.0,743.25
2022-05-05,726.7625,726.5,727.75
2022-05-12,690.575,689.0,696.5
2022-05-19,663.5325,655.5,693.75
2022-05-26,636.23,623.0,686.0
2022-06-02,619.8050000000001,605.0,675.5
2022-06-09,608.83,604.0,627.0
2022-06-16,554.4350000000001,549.5,573.0
2022-06-23,555.905,549.5,580.0
2022-06-30,555.1175000000001,549.5,576.25
2022-07-07,558.4100000000001,554.0,575.0
2022-07-14,555.7850000000001,554.0,562.5
2022-07-21,540.9100000000001,536.5,557.5
2022-07-28,500.39750000000004,491.0,535.75
2022-08-04,507.87250000000006,499.0,541.25
2022-08-11,547.8775,551.5,534.25
2022-08-18,533.2775,528.5,551.25
2022-08-25,537.7,523.0,593.0
2022-09-01,594.1925,576.5,660.75
2022-09-08,660.0,660.0,660.0
2022-09-15,649.65,646.5,661.5
2022-09-22,655.23,652.5,665.5
2022-09-29,644.895,645.0,644.5
2022-10-06,629.4725000000001,629.0,631.25
2022-10-13,605.4575,599.0,629.75
2022-10-20,616.7825,614.0,627.25
2022-10-27,616.1,614.0,624.0
2022-11-03,599.2625,599.0,600.25
2022-11-10,591.8475000000001,594.0,583.75
2022-11-17,553.445,552.5,557.0
2022-11-24,540.97,539.5,546.5
2022-12-01,538.2925,539.5,533.75
2022-12-08,486.57500000000005,485.0,492.5
2022-12-15,475.6825,475.0,478.25
2022-12-22,472.65500000000003,471.5,477.0
2022-12-29,458.0,458.0,458.0
2023-01-05,461.98125000000005,465.0,450.625
2023-01-12,453.3,457.5,437.5
2023-01-19,452.05,456.25,436.25
2023-01-26,444.4875,450.0,423.75
2023-02-02,438.4375,445.0,413.75
2023-02-09,430.40250000000003,438.75,399.0
2023-02-16,367.76250000000005,372.75,349.0
2023-02-23,367.5,372.75,347.75
2023-03-02,356.52,359.25,346.25
2023-03-09,324.204375,321.75,333.4375
2023-03-16,335.075,338.75,321.25
2023-03-23,340.74,342.0,336.0
2023-03-30,344.3125,348.25,329.5
2023-04-06,336.47312500000004,341.5,317.5625
2023-04-13,328.09812500000004,330.5,319.0625
2023-04-20,333.11,335.0,326.0
2023-04-27,338.41875,337.5,341.875
2023-05-04,335.18375000000003,335.0,335.875
2023-05-11,335.78875,335.5,336.875
2023-05-18,335.18375000000003,335.0,335.875
2023-05-25,332.22125,331.25,335.875
2023-06-01,313.01875,310.0,324.375
2023-06-08,312.625,310.0,322.5
2023-06-15,312.625,310.0,322.5
2023-06-22,296.3,290.0,320.0
2023-06-29,305.325,303.75,311.25
2023-07-06,307.03125,303.75,319.375
2023-07-13,326.5225,325.0,332.25
2023-07-20,328.77,326.25,338.25
2023-07-27,351.10625000000005,346.25,369.375
2023-08-03,367.48125000000005,360.0,395.625
2023-08-10,405.7375,406.0,404.75
2023-08-17,388.938125,390.5,383.0625
2023-08-24,379.65250000000003,377.5,387.75
2023-08-31,364.20750000000004,363.0,368.75
2023-09-07,379.820625,376.5,392.3125
2023-09-14,392.51875000000007,389.5,403.875
2023-09-21,401.481875,399.5,408.9375
2023-09-28,396.37687500000004,394.5,403.4375
2023-10-05,399.0075,396.75,407.5
2023-10-12,399.0075,396.75,407.5
2023-10-19,392.75625,390.0,403.125
2023-10-26,380.300625,379.5,383.3125
2023-11-02,378.37875,377.25,382.625
2023-11-09,380.28875,380.0,381.375
2023-11-16,369.70875,369.0,372.375
2023-11-23,348.8075,350.75,341.5
2023-11-30,341.12,341.75,338.75
2023-12-07,341.736875,341.75,341.6875
2023-12-14,338.57375,341.75,326.625
2023-12-21,337.83875,341.75,323.125
2023-12-28,337.9371875,,
2024-01-04,338.035625,341.75,324.0625
2024-01-11,323.97375,324.0,323.875
2024-01-18,347.22749999999996,348.75,341.5
2024-01-25,379.03875000000005,378.75,380.125
2024-02-01,384.93125000000003,383.75,389.375
2024-02-08,398.75625,401.25,389.375
2024-02-15,398.75625,401.25,389.375
2024-02-22,380.58750000000003,378.75,387.5
2024-02-29,382.72125000000005,381.75,386.375
2024-03-07,371.21500000000003,367.75,384.25
2024-03-14,368.4275,365.75,378.5
2024-03-21,352.09875,349.5,361.875
2024-03-28,348.82875,348.75,349.125
2024-04-04,339.83875,338.5,344.875
2024-04-11,330.0675,330.75,327.5
2024-04-18,325.66375,328.0,316.875
2024-04-25,303.13,302.5,305.5
2024-05-02,301.155,300.0,305.5
2024-05-09,352.88625,360.0,326.125
2024-05-16,300.75375,302.25,295.125
2024-05-23,304.99625000000003,303.5,310.625
2024-05-30,305.56125,303.75,312.375
2024-06-06,322.13,321.5,324.5
2024-06-13,329.00875,327.25,335.625
2024-06-20,342.02125,340.0,349.625
2024-06-27,337.47625,333.25,353.375
2024-07-04,342.4525,339.25,354.5
2024-07-11,377.57124999999996,379.75,369.375
2024-07-18,344.93937500000004,341.75,356.9375
2024-07-25,360.08187499999997,361.25,355.6875
2024-08-01,365.443125,369.0,352.0625
2024-08-08,363.30375,369.0,341.875
2024-08-15,359.4875,365.0,338.75
2024-08-22,358.93625000000003,365.0,336.125
2024-08-29,356.505,363.75,329.25
2024-09-05,305.02875,306.0,301.375
2024-09-12,355.57,362.5,329.5
2024-09-19,367.95625,376.75,334.875
2024-09-26,380.38375,386.5,357.375
2024-10-03,382.96125,388.5,362.125
2024-10-10,384.47375,389.75,364.625
2024-10-17,387.42999999999995,391.0,374.0
2024-10-24,389.31062499999996,392.5,377.3125
2024-10-31,378.49,379.75,373.75
2024-11-07,344.819375,341.0,359.1875
2024-11-14,384.709375,394.75,346.9375
2024-11-21,377.679375,386.25,345.4375
2024-11-28,377.338125,386.25,343.8125
2024-12-05,376.485,386.25,339.75
2024-12-12,375.14,383.75,342.75
2024-12-19,378.84125,383.75,360.375
2024-12-26,379.01187500000003,,
2025-01-02,379.1825,383.75,362.0
2025-01-09,385.0475,388.25,373.0
2025-01-16,407.91249999999997,409.75,401.0
2025-01-23,413.91062500000004,415.0,409.8125
2025-01-30,416.384375,417.5,412.1875
2025-02-06,433.8525,438.0,418.25
2025-02-13,436.84875000000005,439.5,426.875
2025-02-20,435.46375,436.75,430.625
2025-02-27,432.71625000000006,435.0,424.125
2025-03-06,422.985,427.5,406.0
2025-03-13,413.99875,418.75,396.125
2025-03-20,387.805,388.75,384.25
2025-03-27,386.38874999999996,389.25,375.625
2025-04-03,387.9775,389.5,382.25
2025-04-10,388.94875,389.5,386.875
2025-04-17,396.13500000000005,397.5,391.0
2025-04-24,404.65875,405.0,403.375
2025-05-01,404.6325,405.0,403.25
2025-05-08,377.5725,375.0,387.25
2025-05-15,370.25624999999997,367.5,380.625
2025-05-22,364.90125,362.25,374.875
2025-05-29,365.4,362.25,377.25
2025-06-05,370.00625,367.25,380.375
2025-06-12,372.52125,370.5,380.125
2025-06-19,399.205,397.0,407.5
2025-06-26,411.20124999999996,397.0,464.625
2025-07-03,410.2825,397.0,460.25
2025-07-10,431.555,422.0,467.5
2025-07-17,436.43,429.5,462.5
2025-07-24,451.93,445.0,478.0
2025-07-31,451.49375,443.75,480.625
2025-08-07,477.83750000000003,470.75,504.5
2025-08-14,477.94250000000005,470.75,505.0
2025-08-21,450.9725,440.0,492.25
2025-08-28,440.27,432.5,469.5
2025-09-04,422.39375,416.75,443.625
2025-09-11,416.16,411.75,432.75
2025-09-18,401.53249999999997,398.75,412.0
2025-09-25,394.7475,393.75,398.5
2025-10-02,388.79999999999995,387.75,392.75
2025-10-09,385.67616250000003,384.25,391.04125
2025-10-16,388.7924125,386.5,397.41625
2025-10-23,384.56375,383.75,387.625
2025-10-30,373.25,368.0,393.0
2025-11-06,373.59125000000006,368.0,394.625
2025-11-13,381.93375000000003,376.5,402.375
