date,za,avg_benchmark
2020-01-02,157.522,113.0
2020-01-09,155.431,111.5
2020-01-16,155.431,111.5
2020-01-23,155.431,111.5
2020-01-30,155.431,111.5
2020-02-06,155.431,111.5
2020-02-13,155.431,111.5
2020-02-20,154.03699999999998,110.5
2020-02-27,156.12800000000001,112.0
2020-03-05,157.522,113.0
2020-03-12,178.432,128.0
2020-03-19,157.522,113.0
2020-03-26,158.219,113.5
2020-04-02,158.219,113.5
2020-04-09,158.219,113.5
2020-04-16,158.219,113.5
2020-04-23,158.219,113.5
2020-04-30,158.219,113.5
2020-05-07,158.219,113.5
2020-05-14,157.522,113.0
2020-05-21,157.522,113.0
2020-05-28,148.46099999999998,106.5
2020-06-04,148.46099999999998,106.5
2020-06-11,148.46099999999998,106.5
2020-06-18,149.158,107.0
2020-06-25,148.46099999999998,106.5
2020-07-02,148.46099999999998,106.5
2020-07-09,149.158,107.0
2020-07-16,151.946,109.0
2020-07-23,153.34,110.0
2020-07-30,155.431,111.5
2020-08-06,156.825,112.5
2020-08-13,161.007,115.5
2020-08-20,163.09799999999998,117.0
2020-08-27,163.09799999999998,117.0
2020-09-03,164.492,118.0
2020-09-10,165.18900000000002,118.5
2020-09-17,165.18900000000002,118.5
2020-09-24,165.18900000000002,118.5
2020-10-01,165.18900000000002,118.5
2020-10-08,165.18900000000002,118.5
2020-10-15,166.583,119.5
2020-10-22,168.67399999999998,121.0
2020-10-29,168.67399999999998,121.0
2020-11-05,169.37099999999998,121.5
2020-11-12,169.37099999999998,121.5
2020-11-19,170.76500000000001,122.5
2020-11-26,177.03799999999998,127.0
2020-12-03,157.522,113.0
2020-12-10,180.523,129.5
2020-12-17,183.31099999999998,131.5
2020-12-24,183.31099999999998,131.5
2020-12-31,185.40200000000002,133.0
2021-01-07,298.78066666666666,214.33333333333334
2021-01-14,188.19,135.0
2021-01-21,191.67499999999998,137.5
2021-01-28,195.857,140.5
2021-02-04,206.31199999999998,148.0
2021-02-11,207.706,149.0
2021-02-18,213.28199999999998,153.0
2021-02-25,229.08066666666667,164.33333333333334
2021-03-04,252.314,181.0
2021-03-11,259.284,186.0
2021-03-18,266.25399999999996,191.0
2021-03-25,270.90066666666667,194.33333333333334
2021-04-01,269.9713333333333,193.66666666666666
2021-04-08,270.43600000000004,194.0
2021-04-15,267.64799999999997,192.0
2021-04-22,269.042,193.0
2021-04-29,268.1126666666667,192.33333333333334
2021-05-06,270.43600000000004,194.0
2021-05-13,269.042,193.0
2021-05-20,271.3653333333333,194.66666666666666
2021-05-27,272.29466666666667,195.33333333333334
2021-06-03,273.6886666666667,196.33333333333334
2021-06-10,282.5173333333333,202.66666666666666
2021-06-17,291.8106666666667,209.33333333333334
2021-06-24,294.134,211.0
2021-07-01,184.705,132.5
2021-07-08,299.71000000000004,215.0
2021-07-15,308.07399999999996,221.0
2021-07-22,312.25600000000003,224.0
2021-07-29,312.72066666666666,224.33333333333334
2021-08-05,316.9026666666667,227.33333333333334
2021-08-12,318.2966666666667,228.33333333333334
2021-08-19,350.3586666666667,251.33333333333334
2021-08-26,349.894,251.0
2021-09-02,348.9646666666667,250.33333333333334
2021-09-09,348.9646666666667,250.33333333333334
2021-09-16,349.4293333333333,250.66666666666666
2021-09-23,349.4293333333333,250.66666666666666
2021-09-30,354.07599999999996,254.0
2021-10-07,354.07599999999996,254.0
2021-10-14,399.14866666666666,286.3333333333333
2021-10-21,454.44399999999996,326.0
2021-10-28,441.201,316.5
2021-11-04,507.8806666666666,364.3333333333333
2021-11-11,538.084,386.0
2021-11-18,628.694,451.0
2021-11-25,615.6833333333334,441.6666666666667
2021-12-02,618.0066666666667,443.3333333333333
2021-12-09,613.36,440.0
2021-12-16,600.8140000000001,431.0
2021-12-23,598.4906666666666,429.3333333333333
2021-12-30,570.146,409.0
2022-01-06,571.54,410.0
2022-01-13,553.418,397.0
2022-01-20,496.264,356.0
2022-01-27,483.71799999999996,347.0
2022-02-03,472.10133333333334,338.6666666666667
2022-02-10,405.654,291.0
2022-02-17,340.60066666666665,244.33333333333334
2022-02-24,346.1766666666667,248.33333333333334
2022-03-03,377.77399999999994,271.0
2022-03-10,485.57666666666665,348.3333333333333
2022-03-17,513.4566666666666,368.3333333333333
2022-03-24,531.114,381.0
2022-03-31,532.0433333333333,381.6666666666667
2022-04-07,525.0733333333334,376.6666666666667
2022-04-14,514.8506666666666,369.3333333333333
2022-04-21,512.5273333333333,367.6666666666667
2022-04-28,512.5273333333333,367.6666666666667
2022-05-05,491.61733333333336,352.6666666666667
2022-05-12,483.2533333333334,346.6666666666667
2022-05-19,478.6066666666666,343.3333333333333
2022-05-26,447.47400000000005,321.0
2022-06-02,437.2513333333333,313.6666666666667
2022-06-09,404.7246666666667,290.3333333333333
2022-06-16,376.38,270.0
2022-06-23,380.0973333333333,272.6666666666667
2022-06-30,368.94533333333334,264.6666666666667
2022-07-07,355.46999999999997,255.0
2022-07-14,357.32866666666666,256.3333333333333
2022-07-21,350.3586666666667,251.33333333333334
2022-07-28,343.38866666666667,246.33333333333334
2022-08-04,342.924,246.0
2022-08-11,328.984,236.0
2022-08-18,322.47866666666664,231.33333333333334
2022-08-25,320.1553333333333,229.66666666666666
2022-09-01,331.3073333333333,237.66666666666666
2022-09-08,364.7633333333334,261.6666666666667
2022-09-15,364.7633333333334,261.6666666666667
2022-09-22,359.18733333333336,257.6666666666667
2022-09-29,349.894,251.0
2022-10-06,349.4293333333333,250.66666666666666
2022-10-13,353.14666666666665,253.33333333333334
2022-10-20,354.54066666666665,254.33333333333334
2022-10-27,353.14666666666665,253.33333333333334
2022-11-03,345.2473333333333,247.66666666666666
2022-11-10,326.6606666666667,234.33333333333334
2022-11-17,305.286,219.0
2022-11-24,296.45733333333334,212.66666666666666
2022-12-01,295.99266666666665,212.33333333333334
2022-12-08,293.20466666666664,210.33333333333334
2022-12-15,288.0933333333333,206.66666666666666
2022-12-22,282.982,203.0
2022-12-29,282.982,203.0
2023-01-05,270.61024999999995,194.125
2023-01-12,270.26175,193.875
2023-01-19,257.36725,184.625
2023-01-26,257.36725,184.625
2023-02-02,257.89,185.0
2023-02-09,257.89,185.0
2023-02-16,257.01875,184.375
2023-02-23,253.53375,181.875
2023-03-02,259.284,186.0
2023-03-09,253.708,182.0
2023-03-16,250.04874999999998,179.375
2023-03-23,236.6315,169.75
2023-03-30,226.87349999999998,162.75
2023-04-06,217.8125,156.25
2023-04-13,203.34975,145.875
2023-04-20,196.554,141.0
2023-04-27,197.42525,141.625
2023-05-04,198.12225,142.125
2023-05-11,208.0545,149.25
2023-05-18,203.8725,146.25
2023-05-25,198.64499999999998,142.5
2023-06-01,184.705,132.5
2023-06-08,171.63625,123.125
2023-06-15,167.28,120.0
2023-06-22,159.61299999999997,114.5
2023-06-29,161.87824999999998,116.125
2023-07-06,173.72725,124.625
2023-07-13,191.67499999999998,137.5
2023-07-20,198.9935,142.75
2023-07-27,209.27425,150.125
2023-08-03,257.89,185.0
2023-08-10,250.22299999999998,179.5
2023-08-17,251.9655,180.75
2023-08-24,238.54825,171.125
2023-08-31,230.18425,165.125
2023-09-07,248.132,178.0
2023-09-14,253.53375,181.875
2023-09-21,258.06425,185.125
2023-09-28,258.06425,185.125
2023-10-05,260.15525,186.625
2023-10-12,263.1175,188.75
2023-10-19,258.587,185.5
2023-10-26,248.829,178.5
2023-11-02,244.647,175.5
2023-11-09,227.57049999999998,163.25
2023-11-16,209.797,150.5
2023-11-23,202.65275,145.375
2023-11-30,173.553,124.5
2023-12-07,174.42425,125.125
2023-12-14,183.13675,131.375
2023-12-21,189.75825,136.125
2023-12-28,190.6295,136.75
2024-01-04,196.72825,141.125
2024-01-11,204.04675,146.375
2024-01-18,213.63049999999998,153.25
2024-01-25,217.1155,155.75
2024-02-01,219.72924999999998,157.625
2024-02-08,224.0855,160.75
2024-02-15,225.30524999999997,161.625
2024-02-22,227.74475,163.375
2024-02-29,230.01,165.0
2024-03-07,220.07774999999998,157.875
2024-03-14,207.18325000000002,148.625
2024-03-21,198.81925,142.625
2024-03-28,193.59175,138.875
2024-04-04,193.59175,138.875
2024-04-11,188.19,135.0
2024-04-18,189.9325,136.25
2024-04-25,193.24325,138.625
2024-05-02,196.72825,141.125
2024-05-09,201.0845,144.25
2024-05-16,202.65275,145.375
2024-05-23,201.0845,144.25
2024-05-30,206.48625,148.125
2024-06-06,214.50175,153.875
2024-06-13,222.6915,159.75
2024-06-20,227.57049999999998,163.25
2024-06-27,224.434,161.0
2024-07-04,224.25975,160.875
2024-07-11,219.72924999999998,157.625
2024-07-18,214.50175,153.875
2024-07-25,215.89575,154.875
2024-08-01,217.63825,156.125
2024-08-08,218.858,157.0
2024-08-15,221.646,159.0
2024-08-22,222.343,159.5
2024-08-29,223.21425,160.125
2024-09-05,224.0855,160.75
2024-09-12,222.343,159.5
2024-09-19,224.7825,161.25
2024-09-26,223.73700000000002,160.5
2024-10-03,222.51725,159.625
2024-10-10,227.57049999999998,163.25
2024-10-17,226.525,162.5
2024-10-24,220.77474999999998,158.375
2024-10-31,219.72924999999998,157.625
2024-11-07,215.373,154.5
2024-11-14,211.191,151.5
2024-11-21,209.4485,150.25
2024-11-28,210.1455,150.75
2024-12-05,211.191,151.5
2024-12-12,213.10775,152.875
2024-12-19,214.50175,153.875
2024-12-26,217.98675,156.375
2025-01-02,221.47175000000001,158.875
2025-01-09,223.04,160.0
2025-01-16,225.131,161.5
2025-01-23,229.31300000000002,164.5
2025-01-30,230.01,165.0
2025-02-06,225.131,161.5
2025-02-13,232.4495,166.75
2025-02-20,231.7525,166.25
2025-02-27,231.404,166.0
2025-03-06,221.47175000000001,158.875
2025-03-13,219.2065,157.25
2025-03-20,216.4185,155.25
2025-03-27,216.767,155.5
2025-04-03,221.29749999999999,158.75
2025-04-10,224.60825,161.125
2025-04-17,231.404,166.0
2025-04-24,232.4495,166.75
2025-05-01,233.32075,167.375
2025-05-08,236.45725000000002,169.625
2025-05-15,234.36624999999998,168.125
2025-05-22,233.66925,167.625
2025-05-29,231.57825,166.125
2025-06-05,238.89675,171.375
2025-06-12,244.47275,175.375
2025-06-19,263.29175,188.875
2025-06-26,281.588,202.0
2025-07-03,274.96649999999994,197.25
2025-07-10,277.92875000000004,199.375
2025-07-17,274.96649999999994,197.25
2025-07-24,267.64799999999997,192.0
2025-07-31,263.1175,188.75
2025-08-07,259.6325,186.25
2025-08-14,255.799,183.5
2025-08-21,244.2985,175.25
2025-08-28,240.63924999999998,172.625
2025-09-04,234.192,168.0
2025-09-11,225.65374999999997,161.875
2025-09-18,220.252,158.0
2025-09-25,218.858,157.0
2025-10-02,226.1765,162.25
2025-10-09,227.91899999999998,163.5
2025-10-16,241.33625,173.125
2025-10-23,274.618,197.0
2025-10-30,263.64025000000004,189.125
2025-11-06,249.1775,178.75
2025-11-13,251.44275000000002,180.375
2025-11-20,256.32175,183.875
2025-11-27,263.1175,188.75
2025-12-04,270.0875,193.75
2025-12-11,274.44374999999997,196.875
2025-12-18,272.35275,195.375
2025-12-25,269.56475,
2026-01-01,266.77675,
2026-01-08,263.98875,189.375
2026-01-15,268.17075,192.375
2026-01-22,272.70125,195.625
2026-01-29,277.406,199.0
2026-02-05,285.77,205.0
2026-02-12,284.89875,204.375
2026-02-19,284.89875,204.375
2026-02-26,293.61125000000004,210.625
2026-03-05,318.00624999999997,228.125
2026-03-12,348.49999999999994,250.0
2026-03-19,360.6975,258.75
2026-03-26,412.62399999999997,296.0
2026-04-02,430.3975,308.75
2026-04-09,433.8825,311.25
2026-04-16,443.11775,317.875
2026-04-23,449.73925,322.625
2026-04-30,460.54275,330.375
2026-05-07,465.07325,333.625
2026-05-14,456.53499999999997,327.5
2026-05-21,423.4275,303.75
2026-05-28,408.61625,293.125
